Designator,Mid X,Mid Y,Layer,Rotation
C1,25.30,10.54,Top,270.0
C2,26.15,12.75,Top,0.0
C3,23.88, 7.14,Top,90.0
C4,17.22, 7.14,Top,90.0
FLASH,32.92, 2.03,Top,180.0
IC1,20.55, 7.14,Top,0.0
J2,23.16, 1.45,Top,90.0
JP1,49.40,19.25,Top,90.0
LED2,28.24,19.00,Top,180.0
Q1,38.05,20.83,Top,180.0
R1, 9.96, 7.77,Top,180.0
R2,12.90, 7.77,Top,0.0
R3,16.45,30.99,Top,90.0
R4,18.45,30.99,Top,90.0
R5,20.45,30.99,Top,90.0
R6,34.37,21.77,Top,0.0
R7,31.10,21.76,Top,0.0
RESET,13.11, 2.03,Top,180.0
U1,14.25,19.25,Top,0.0
