Designator,Mid X,Mid Y,Layer,Rotation
C1,25.30,11.29,Top,270.0
C2,26.15,13.50,Top,0.0
C3,23.88, 7.89,Top,90.0
C4,17.22, 7.89,Top,90.0
C5,39.52,15.01,Top,180.0
C6,39.52,17.04,Top,180.0
IC1,20.55, 7.89,Top,0.0
IC2,37.57, 8.92,Top,90.0
J2,23.16,1.95,Top,270.0
JP1,49.40,20.00,Top,90.0
LED2,28.25,19.75,Top,180.0
Q1,29.67,23.99,Top,180.0
Q2,44.12, 5.28,Top,180.0
R1, 9.96, 8.52,Top,180.0
R2,12.90, 8.52,Top,0.0
R3,16.45,31.74,Top,90.0
R4,18.45,31.74,Top,90.0
R5,20.45,31.74,Top,90.0
R6,25.91,23.08,Top,0.0
R7,25.54,16.93,Top,270.0
R8,32.13,12.50,Top,0.0
R9,32.13,10.46,Top,0.0
R10,44.12, 2.92,Top,180.0
R11,44.12, 7.70,Top,0.0
RESET,13.11, 2.78,Top,180.0
U1,11.95,20.00,Top,0.0
Y1,32.28, 5.11,Top,270.0
